review_text,star_rating,timestamp,clean_text,normalized_text,sentiment,aspects
hp lumayan lah buat harga segini.,3,2026-04-22 17:14:08,hp lumayan lah buat harga segini,hp lumayan lah buat harga segini,Neutral,General
"Mantap, tas kualitasnya original juara.",5,2025-09-29 21:14:08,mantap tas kualitasnya original juara,mantap tas kualitasnya original juara,Positive,Product Quality
"sepatu bgs, packing aman pake bubble wrap.",4,2026-01-12 19:14:08,sepatu bgs packing aman pake bubble wrap,sepatu bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Kurir lambat, jam tangan hancur pas sampai ga pake bubble wrap.",1,2025-09-28 03:14:08,kurir lambat jam tangan hancur pas sampai ga pake bubble wrap,kurir lambat jam tangan hancur pas sampai tidak pakai bubble wrap,Negative,"Shipping/Delivery,Packaging/Condition"
"Mantap, sepatu kualitasnya original juara.",5,2026-08-31 13:14:08,mantap sepatu kualitasnya original juara,mantap sepatu kualitasnya original juara,Positive,Product Quality
"Pengiriman cepat banget, skincare original.",4,2026-07-03 15:14:08,pengiriman cepat banget skincare original,pengiriman cepat banget skincare original,Positive,"Shipping/Delivery,Product Quality"
"Admin acuh, respon lambat, tas sptnya tiruan.",2,2026-06-24 23:14:08,admin acuh respon lambat tas sptnya tiruan,admin acuh respon lambat tas sptnya tiruan,Negative,"Shipping/Delivery,Product Quality,Customer Service"
"Pengiriman cepat banget, jam tangan original.",5,2026-06-18 07:14:08,pengiriman cepat banget jam tangan original,pengiriman cepat banget jam tangan original,Positive,"Shipping/Delivery,Product Quality"
"Gpp lah, agak lama tapi jam tangan masih utuh.",3,2026-09-08 15:14:08,gpp lah agak lama tapi jam tangan masih utuh,tidak apa-apa lah agak lama tapi jam tangan masih utuh,Neutral,"Shipping/Delivery,Product Quality"
"Pengiriman cepat bgt, tas original.",5,2026-04-26 05:14:08,pengiriman cepat bgt tas original,pengiriman cepat banget tas original,Positive,"Shipping/Delivery,Product Quality"
"Pengiriman cepat banget, sepatu original.",5,2026-02-13 12:14:08,pengiriman cepat banget sepatu original,pengiriman cepat banget sepatu original,Positive,"Shipping/Delivery,Product Quality"
"Admin ramah responnya cepat, baju sesuai deskripsi.",5,2025-10-04 06:14:08,admin ramah responnya cepat baju sesuai deskripsi,admin ramah responnya cepat baju sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Admin ramah responnya cepat, sepatu sesuai deskripsi.",5,2026-04-17 20:14:08,admin ramah responnya cepat sepatu sesuai deskripsi,admin ramah responnya cepat sepatu sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Pengiriman cepat bgt, skincare original.",5,2026-03-03 09:14:08,pengiriman cepat bgt skincare original,pengiriman cepat banget skincare original,Positive,"Shipping/Delivery,Product Quality"
"Bagus bgt, kurir juga ramah recommended seller.",5,2026-04-10 20:14:08,bagus bgt kurir juga ramah recommended seller,bagus banget kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"skincare bgs, packing aman pake bubble wrap.",5,2026-01-18 03:14:08,skincare bgs packing aman pake bubble wrap,skincare bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"sepatu cacat, packing rusak dan bocor.",1,2025-09-29 19:14:08,sepatu cacat packing rusak dan bocor,sepatu cacat pengemasan rusak dan bocor,Negative,"Packaging/Condition,Product Quality"
"Bagus bgt, kurir juga ramah recommended seller.",4,2026-03-18 17:14:08,bagus bgt kurir juga ramah recommended seller,bagus banget kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Kurir lambat, sepatu hancur pas sampai ga pake bubble wrap.",1,2026-07-09 16:14:08,kurir lambat sepatu hancur pas sampai ga pake bubble wrap,kurir lambat sepatu hancur pas sampai tidak pakai bubble wrap,Negative,"Shipping/Delivery,Packaging/Condition"
"Bagus bgt, kurir juga ramah recommended seller.",5,2026-08-05 08:14:08,bagus bgt kurir juga ramah recommended seller,bagus banget kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Admin ramah responnya cepat, baju sesuai deskripsi.",4,2026-05-02 02:14:08,admin ramah responnya cepat baju sesuai deskripsi,admin ramah responnya cepat baju sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Pengiriman cepat bgt, sepatu original.",5,2025-12-18 02:14:08,pengiriman cepat bgt sepatu original,pengiriman cepat banget sepatu original,Positive,"Shipping/Delivery,Product Quality"
"Kecewa, tas cacat tdk sesuai gambar.",1,2026-06-07 16:14:08,kecewa tas cacat tdk sesuai gambar,kecewa tas cacat tidak sesuai gambar,Negative,Product Quality
"tas bagus, packing aman pake bubble wrap.",5,2025-12-03 12:14:08,tas bagus packing aman pake bubble wrap,tas bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Mantap, skincare kualitasnya original juara.",4,2026-07-25 12:14:08,mantap skincare kualitasnya original juara,mantap skincare kualitasnya original juara,Positive,Product Quality
"Sesuai harga, hp cukup oke, admin biasa aja.",3,2026-09-17 08:14:08,sesuai harga hp cukup oke admin biasa aja,sesuai harga hp cukup oke admin biasa aja,Neutral,Customer Service
"Bagus bgt, abang kurir juga ramah recommended seller.",5,2025-11-15 10:14:08,bagus bgt abang kurir juga ramah recommended seller,bagus banget abang kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Bagus bgt, abang kurir juga ramah recommended seller.",4,2025-12-09 23:14:08,bagus bgt abang kurir juga ramah recommended seller,bagus banget abang kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"baju bagus, packing aman pake bubble wrap.",5,2026-02-03 20:14:08,baju bagus packing aman pake bubble wrap,baju bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"hp bgs, packing aman pake bubble wrap.",5,2025-12-15 21:14:08,hp bgs packing aman pake bubble wrap,hp bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"tas bagus, packing aman pake bubble wrap.",5,2025-09-29 08:14:08,tas bagus packing aman pake bubble wrap,tas bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Gpp lah, agak lama tapi sepatu masih utuh.",3,2026-06-25 22:14:08,gpp lah agak lama tapi sepatu masih utuh,tidak apa-apa lah agak lama tapi sepatu masih utuh,Neutral,"Shipping/Delivery,Product Quality"
"Kurir lambat, jam tangan hancur pas sampai ga pake bubble wrap.",1,2026-08-27 14:14:08,kurir lambat jam tangan hancur pas sampai ga pake bubble wrap,kurir lambat jam tangan hancur pas sampai tidak pakai bubble wrap,Negative,"Shipping/Delivery,Packaging/Condition"
"jam tangan sampai dengan selamat, original sih tapi pengiriman lambat.",3,2025-10-29 01:14:08,jam tangan sampai dengan selamat original sih tapi pengiriman lambat,jam tangan sampai dengan selamat original sih tapi pengiriman lambat,Neutral,"Shipping/Delivery,Product Quality"
"Sesuai harga, hp cukup oke, admin biasa aja.",3,2026-01-09 12:14:08,sesuai harga hp cukup oke admin biasa aja,sesuai harga hp cukup oke admin biasa aja,Neutral,Customer Service
"Mantap, tas kualitasnya original juara.",5,2026-01-06 16:14:08,mantap tas kualitasnya original juara,mantap tas kualitasnya original juara,Positive,Product Quality
"Bagus bgt, kurir juga ramah recommended seller.",4,2026-01-27 05:14:08,bagus bgt kurir juga ramah recommended seller,bagus banget kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Mantap, sepatu kualitasnya original juara.",5,2026-02-11 05:14:08,mantap sepatu kualitasnya original juara,mantap sepatu kualitasnya original juara,Positive,Product Quality
"Bagus bgt, kurir juga ramah recommended seller.",5,2026-08-02 14:14:08,bagus bgt kurir juga ramah recommended seller,bagus banget kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Mantap, baju kualitasnya original juara.",5,2025-11-30 18:14:08,mantap baju kualitasnya original juara,mantap baju kualitasnya original juara,Positive,Product Quality
"Pengiriman cepat bgt, hp original.",4,2026-01-14 16:14:08,pengiriman cepat bgt hp original,pengiriman cepat banget hp original,Positive,"Shipping/Delivery,Product Quality"
"Pengiriman cepat banget, jam tangan original.",5,2025-12-26 11:14:08,pengiriman cepat banget jam tangan original,pengiriman cepat banget jam tangan original,Positive,"Shipping/Delivery,Product Quality"
"Biasa aja, pengirimannya standar.",3,2025-10-28 00:14:08,biasa aja pengirimannya standar,biasa aja pengiriman standar,Neutral,Shipping/Delivery
"Admin acuh, respon lambat, baju sptnya tiruan.",2,2026-01-05 20:14:08,admin acuh respon lambat baju sptnya tiruan,admin acuh respon lambat baju sptnya tiruan,Negative,"Shipping/Delivery,Product Quality,Customer Service"
baju lumayan lah buat harga segini.,3,2026-07-11 12:14:08,baju lumayan lah buat harga segini,baju lumayan lah buat harga segini,Neutral,General
"skincare bgs, packing aman pake bubble wrap.",5,2026-02-19 08:14:08,skincare bgs packing aman pake bubble wrap,skincare bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Kecewa, sepatu cacat tdk sesuai gambar.",1,2026-02-07 03:14:08,kecewa sepatu cacat tdk sesuai gambar,kecewa sepatu cacat tidak sesuai gambar,Negative,Product Quality
"sepatu cacat, packing rusak dan bocor.",1,2025-10-02 02:14:08,sepatu cacat packing rusak dan bocor,sepatu cacat pengemasan rusak dan bocor,Negative,"Packaging/Condition,Product Quality"
"sepatu bagus, packing aman pake bubble wrap.",5,2025-11-20 08:14:08,sepatu bagus packing aman pake bubble wrap,sepatu bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Bagus bgt, kurir juga ramah recommended seller.",5,2025-11-05 08:14:08,bagus bgt kurir juga ramah recommended seller,bagus banget kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"skincare cacat, packing rusak dan bocor.",2,2026-03-24 08:14:08,skincare cacat packing rusak dan bocor,skincare cacat pengemasan rusak dan bocor,Negative,"Packaging/Condition,Product Quality"
"Admin ramah responnya cepat, sepatu sesuai deskripsi.",5,2026-03-12 04:14:08,admin ramah responnya cepat sepatu sesuai deskripsi,admin ramah responnya cepat sepatu sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Sesuai harga, hp cukup oke, admin biasa aja.",3,2026-04-02 21:14:08,sesuai harga hp cukup oke admin biasa aja,sesuai harga hp cukup oke admin biasa aja,Neutral,Customer Service
"Admin ramah responnya cepat, jam tangan sesuai deskripsi.",5,2026-06-18 08:14:08,admin ramah responnya cepat jam tangan sesuai deskripsi,admin ramah responnya cepat jam tangan sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
tas lumayan lah buat harga segini.,3,2026-05-13 09:14:08,tas lumayan lah buat harga segini,tas lumayan lah buat harga segini,Neutral,General
"Mantap, tas kualitasnya original juara.",4,2025-12-02 19:14:08,mantap tas kualitasnya original juara,mantap tas kualitasnya original juara,Positive,Product Quality
"Mantap, skincare kualitasnya original juara.",4,2025-10-11 08:14:08,mantap skincare kualitasnya original juara,mantap skincare kualitasnya original juara,Positive,Product Quality
"Pengiriman cepat bgt, sepatu original.",5,2026-05-11 03:14:08,pengiriman cepat bgt sepatu original,pengiriman cepat banget sepatu original,Positive,"Shipping/Delivery,Product Quality"
"Biasa aja, pengiriman standar.",3,2026-03-31 20:14:08,biasa aja pengiriman standar,biasa aja pengiriman standar,Neutral,Shipping/Delivery
"Bagus bgt, abang kurir juga ramah recommended seller.",4,2025-11-16 17:14:08,bagus bgt abang kurir juga ramah recommended seller,bagus banget abang kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Admin ramah responnya cepat, hp sesuai deskripsi.",5,2025-11-13 23:14:08,admin ramah responnya cepat hp sesuai deskripsi,admin ramah responnya cepat hp sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Kecewa, tas cacat tidak sesuai gambar.",1,2025-10-11 12:14:08,kecewa tas cacat tidak sesuai gambar,kecewa tas cacat tidak sesuai gambar,Negative,Product Quality
"Pengiriman cepat bgt, skincare original.",4,2026-05-28 01:14:08,pengiriman cepat bgt skincare original,pengiriman cepat banget skincare original,Positive,"Shipping/Delivery,Product Quality"
"Mantap, skincare kualitasnya original juara.",5,2026-07-04 07:14:08,mantap skincare kualitasnya original juara,mantap skincare kualitasnya original juara,Positive,Product Quality
"Mantap, jam tangan kualitasnya original juara.",5,2026-01-30 08:14:08,mantap jam tangan kualitasnya original juara,mantap jam tangan kualitasnya original juara,Positive,Product Quality
"Admin ramah responnya cepat, sepatu sesuai deskripsi.",5,2025-12-23 03:14:08,admin ramah responnya cepat sepatu sesuai deskripsi,admin ramah responnya cepat sepatu sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Admin ramah responnya cepat, jam tangan sesuai deskripsi.",5,2026-05-01 12:14:08,admin ramah responnya cepat jam tangan sesuai deskripsi,admin ramah responnya cepat jam tangan sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Admin ramah responnya cepat, tas sesuai deskripsi.",5,2025-12-22 05:14:08,admin ramah responnya cepat tas sesuai deskripsi,admin ramah responnya cepat tas sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"baju bgs, packing aman pake bubble wrap.",5,2026-04-02 23:14:08,baju bgs packing aman pake bubble wrap,baju bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"baju bgs, packing aman pake bubble wrap.",5,2026-04-08 03:14:08,baju bgs packing aman pake bubble wrap,baju bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Admin ramah responnya cepat, tas sesuai deskripsi.",5,2026-06-08 22:14:08,admin ramah responnya cepat tas sesuai deskripsi,admin ramah responnya cepat tas sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"skincare cacat, packing rusak dan bocor.",2,2026-04-03 12:14:08,skincare cacat packing rusak dan bocor,skincare cacat pengemasan rusak dan bocor,Negative,"Packaging/Condition,Product Quality"
"Pengiriman cepat bgt, baju original.",5,2026-07-04 10:14:08,pengiriman cepat bgt baju original,pengiriman cepat banget baju original,Positive,"Shipping/Delivery,Product Quality"
"Kecewa, hp cacat tdk sesuai gambar.",2,2026-08-20 18:14:08,kecewa hp cacat tdk sesuai gambar,kecewa hp cacat tidak sesuai gambar,Negative,Product Quality
"Kecewa, tas cacat tdk sesuai gambar.",2,2025-12-02 02:14:08,kecewa tas cacat tdk sesuai gambar,kecewa tas cacat tidak sesuai gambar,Negative,Product Quality
"Admin ramah responnya cepat, jam tangan sesuai deskripsi.",5,2025-12-12 02:14:08,admin ramah responnya cepat jam tangan sesuai deskripsi,admin ramah responnya cepat jam tangan sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Bagus bgt, kurir juga ramah recommended seller.",5,2026-03-18 12:14:08,bagus bgt kurir juga ramah recommended seller,bagus banget kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Pengiriman cepat bgt, tas original.",5,2026-01-01 14:14:08,pengiriman cepat bgt tas original,pengiriman cepat banget tas original,Positive,"Shipping/Delivery,Product Quality"
"Sesuai harga, skincare cukup oke, admin biasa aja.",3,2026-01-08 14:14:08,sesuai harga skincare cukup oke admin biasa aja,sesuai harga skincare cukup oke admin biasa aja,Neutral,Customer Service
"Bagus bgt, kurir juga ramah recommended seller.",5,2026-04-20 12:14:08,bagus bgt kurir juga ramah recommended seller,bagus banget kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Bagus bgt, abang kurir juga ramah recommended seller.",5,2025-12-26 22:14:08,bagus bgt abang kurir juga ramah recommended seller,bagus banget abang kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Bagus bgt, kurir juga ramah recommended seller.",5,2026-07-04 23:14:08,bagus bgt kurir juga ramah recommended seller,bagus banget kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Mantap, sepatu kualitasnya original juara.",5,2025-10-20 12:14:08,mantap sepatu kualitasnya original juara,mantap sepatu kualitasnya original juara,Positive,Product Quality
"Pengiriman cepat bgt, skincare original.",5,2026-08-15 05:14:08,pengiriman cepat bgt skincare original,pengiriman cepat banget skincare original,Positive,"Shipping/Delivery,Product Quality"
"Bagus bgt, abang kurir juga ramah recommended seller.",5,2026-09-16 02:14:08,bagus bgt abang kurir juga ramah recommended seller,bagus banget abang kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Admin ramah responnya cepat, tas sesuai deskripsi.",4,2025-10-14 03:14:08,admin ramah responnya cepat tas sesuai deskripsi,admin ramah responnya cepat tas sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Mantap, skincare kualitasnya original juara.",4,2026-01-23 11:14:08,mantap skincare kualitasnya original juara,mantap skincare kualitasnya original juara,Positive,Product Quality
"Kecewa, hp cacat tidak sesuai gambar.",2,2026-02-03 03:14:08,kecewa hp cacat tidak sesuai gambar,kecewa hp cacat tidak sesuai gambar,Negative,Product Quality
